actor;law;link.law;date;link.statement;V10b;V4;PH;in.gesamt;;
Transparency Deutschland e. V.;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;01. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10012014_Stellungnahme_Transparency_International_Deutschland_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;NA;1;1;;
Verband der Auslandsbanken in Deutschland e. V.;Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;30. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09302014_Stellungnahme_Verband_der_Auslandsbanken_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;602;1;1;;
Vereinigung zur Mitwirkung an der Entwicklung des Bilanzrechts für Familiengesellschaften e. V. (VMEBF);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;02. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10022014_Stellungnahme_VMEBF_RefE_BilRUG.pdf?__blob=publicationFile&v=2;18/4050;5874;1;1;;
Wirtschaftsprüferkammer (WPK);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;02. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10022014_Stellungnahme_Wirtschaftsprueferkammer_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;820;1;1;;
Zentralverband des Deutschen Handwerks e. V. (ZDH);Bilanzrichtlinie-Umsetzungsgesetz - (BilRUG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bilanzrichtlinie_Umsetzungsgesetz.html;30. Sep 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/09302014_Stellungnahme_ZDH_RefE_BilRUG.pdf?__blob=publicationFile&v=3;18/4050;25;1;1;;
Arbeitsgemeinschaft für betriebliche Altersversorgung e.V. (aba);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08042016_Stellungnahme_ABA_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;1630;1;1;;
Arbeitsgemeinschaft kommunale und kirchliche Altersversorgung (AKA) e.V.;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;02. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08022016_Stellungnahme_AKA_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;1631;1;1;;
Behrens Rechtsanwälte;Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;25. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08252016_Stellungnahme_Behrens_Rechtsanwaelte_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
Bundesarbeitskreis Insolvenzgerichte e.V. (BAKinso);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;12. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08122016_Stellungnahme_BAKinso_RefE_InsO.pdf?__blob=publicationFile&v=2;18/9983;NA;1;1;;
Bundesverband der Deutschen Industrie e.V. (BDI);Drittes Gesetz zur Änderung der Insolvenzordnung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Drittes_Gesetz_zur_Aenderung_der_Insolvenzordnung.html;04. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08042016_Stellungnahme_BDI_RefE_InsO.pdf?__blob=publicationFile&v=3;18/9983;41;1;1;;
