actor;law;link.law;date;link.statement;V10b;V4;PH
Bund der Versicherten e.V. (BdV);Gesetz zur Umsetzung der Wohnimmobilienkreditrichtlinie und zur Änderung handelsrechtlicher Vorschriften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Wohnimmobilienkreditrichtlinie.html;11. Feb 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/02112015_Stellungnahme_BdV_RefE_Umsetzung_Wohnimmobilienkreditrichtlinie.pdf?__blob=publicationFile&v=1;18/5922;1728;
Bund der VersichertenBundes-Arbeitsgemeinschaft für Familien-Mediation e.V.;Gesetz zur Änderung von Vorschriften über die außergerichtliche Streitbeilegung in Verbrauchersachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Streitbeilegung_Verbrauchersachen.html;14. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/02142019_Stellungnahme_BAFM_au%C3%9Fergerichtl-Streitbeilegung-Verbrauchersachen.pdf?__blob=publicationFile&v=2;NA;NA;
Bund Deutscher Architekten (BDA), Bundesgeschäftsführer;Gesetz zur Reform des Bauvertragsrechts und zur Änderung der kaufrechtlichen Mängelhaftung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bauvertragsrecht.html;20. Nov 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/11202015_Stellungnahme_BDA_RefE_Bauvertragsrecht.pdf?__blob=publicationFile&v=1;NA;2639;
Bund Deutscher Baumeister Architekten und Ingenieure e. V. (BDB);Gesetz zur Reform des Bauvertragsrechts und zur Änderung der kaufrechtlichen Mängelhaftung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bauvertragsrecht.html;19. Nov 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/11192015_Stellungnahme_BDB_RefE_Bauvertragsrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Bund Deutscher Kriminalbamter (BDK);Gesetz zur Änderung des Strafgesetzbuches - Umsetzung europäischer Vorgaben zum Sexualstrafrecht;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Strafgesetzbuches_Umsetzung_europaeischer_Vorgaben_Sexualstrafrecht.html;25. Jul 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/07252014_Stellungnahme_BDK_RefE_Aenderung_Strafgesetzbuch_Umsetzung_europpaeischer_Vorgaben_Sexualstrafrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Bund Deutscher Kriminalbeamter;Zweites Gesetz zur Stärkung der Verfahrensrechte von Beschuldigten im Strafverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Verfahrensrechte_von_Beschuldigten_im_Strafverfahren.html;03. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05032016_Stellungnamhe_BDK_RefE_Verfahrensrechte_Strafverfahren.pdf?__blob=publicationFile&v=2;NA;813;
Bund Deutscher Kriminalbeamter (BDK);Gesetz zur Bekämpfung des Menschenhandels und Schutz seiner Opfer;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Menschenhandels_Schutz_Opfer.html;20. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08202015_Stellungnahme_BDK_RefE_Bekaempfung_Menschenhandel.pdf?__blob=publicationFile&v=1;NA;813;
Bund Deutscher Kriminalbeamter (BDK);Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;09. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05092016_Stellungnahme_BDK_RefE_Stalking.pdf?__blob=publicationFile&v=1;18/9946;813;
Bund Deutscher Kriminalbeamter (BDK) - Bundesvorsitzender -;Gesetz zur Änderung des Strafgesetzbuches – Verbesserung des Schutzes der sexuellen Selbstbestimmung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/SchutzSexuelleSelbstbestimmung.html;07. Sep 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/09072017_Stellungnahme_BDK_RefE_Schutz_sexuelle_Selbstbestimmung.pdf?__blob=publicationFile&v=2;NA;813;
Bund Deutscher Kriminalbeamter e. V. (BDK);Gesetz zur Einführung einer Speicherpflicht und einer Höchstspeicherfrist für Verkehrsdaten;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Einfuehrung_Speicherfrist_Hoechstspeicherfrist_Verkehrsdaten.html;08. Jun 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/06082015_Stellungnahme_BDK_ReE_Einfuehrung_Speicherfrist_Hoechstspeicherfrist_Verkehsdaten.pdf?__blob=publicationFile&v=1;18/5088;813;
Bund Deutscher Rechtspfleger;Änderung der Verordnung zu öffentlichen Bekanntmachungen in Insolvenzverfahren im Internet;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Oeffentliche_Bekannmachung_im_insolvenzverfahren_im_internet.html;06. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/090618_Stellungnahme_BDR_InsoBekV.pdf?__blob=publicationFile&v=1;15/4119;2690;
Bund Deutscher Rechtspfleger;"Gesetz zur Fortentwicklung des Rechts des Pfändungsschutzkontos
und zur Änderung von Vorschriften des Pfändungsschutzes (Pfändungsschutzkonto-Fortentwicklungsgesetz – PKoFoG)";https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Pfaendungsschutzkonto-Fortentwicklungsgesetz.html;16. Dez 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/12162018_Stellungnahme_BDR_Diskussionsteilentwurf_Pf%C3%A4ndungsschutzkonto.pdf?__blob=publicationFile&v=2;NA;2690;
Bund Deutscher Rechtspfleger;Gesetz zum Internationalen Güterrecht und zur Änderung von Vorschriften des Internationalen Privatrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/IntG%C3%BCRVG.html;05. Jul 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/070518_Stellungnahme_BDR_RefE_Intern.Gueterrecht_intern.Privatrecht.pdf?__blob=publicationFile&v=2;17/5125;2690;
Bund Deutscher Rechtspfleger;Gesetz zur Durchführung der Verordnung (EU) 2015/848 über Insolvenzverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verordnung_ueber_Insolvenzverfahren.html;01. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09012016_Stellungnahme_BDR_Ref_EUInsVO.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger;Gesetz zur Stärkung des Rechts des Angeklagten auf Anwesenheit in der Verhandlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Gesetz_zur_Staerkung_Recht_des_Angeklagten_auf_Anwesenheit_Verhandlung.html;20. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/05202018_Anwesenheit_Verhandlung_BDR.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger;Gesetz zur Stärkung des Rechts des Angeklagten auf Anwesenheit in der Verhandlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Gesetz_zur_Staerkung_Recht_des_Angeklagten_auf_Anwesenheit_Verhandlung.html;20. Mai 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/05202018_Anwesenheit_Verhandlung_BDR.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger;Gesetz zur Regelung der Wertgrenze für die Nichtzulassungsbeschwerde in Zivilsachen, zum Ausbau der Spezialisierung bei den Gerichten sowie zur Änderung weiterer zivilprozessrechtlicher Vorschriften;"https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Wertgrenze_Nichtzulassungsbeschwerde_Zivilsachen.html;jsessionid=8DC17B7DF3F09BF61CFC54C392B06E98.1_cid324";05. Jul 19;"https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/07052019_Stellungnahme_BDR_RefE_Wertgrenze_Nichtzulassungsbeschwerde.pdf;jsessionid=8DC17B7DF3F09BF61CFC54C392B06E98.1_cid324?__blob=publicationFile&v=2";NA;2690;
Bund Deutscher Rechtspfleger;Zweites Gesetz zur Stärkung der Verfahrensrechte von Beschuldigten im Strafverfahren;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Verfahrensrechte_von_Beschuldigten_im_Strafverfahren.html;30. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04302016_Stellungnahme_BDR_RefE_Verfahrensrechte_Strafverfahren.pdf?__blob=publicationFile&v=2;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Einführung der elektronischen Akte in Strafsachen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Einfuehrung_elektronische_Akte_Strafsachen.html;19. Dez 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/12192014_Stellungnahme_BDR_RefE_Elektronische_Akte_in_Strafsachen.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zum Internationalen Erbrecht und zur Änderung von Vorschriften zum Erbschein;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Erbrecht_Aenderung_Vorschriften_zum_Erbschein.html;24. Mai 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/05242014_Stellungnahme_BDR_RefE_IntErbRVG.pdf?__blob=publicationFile&v=1;17/4666 (neu);2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung der materiellen Zulässigkeitsvoraussetzungen von ärztlichen Zwangsmaßnahmen und zur Stärkung des Selbstbestimmungsrechts von Betreuten;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Gesetz_zur_Aenderung_materieller_Zulaessigkeitsvoraussetzungen_aerztlicher_Zwangsmassnahmen.html;30. Dez 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/12302016_Stellungnahme_BDR_RefE_Gesetz_zur_Aenderung_materieller_Zulaessigkeitsvoraussetzungen_aerztlicher_Zwangsmassnahmen.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung des Aktiengesetzes (Aktienrechtsnovelle 2014);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aktienrechtsnovelle.html;22. Jun 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/06222014_Stellungnahme_BDR_RefE_Aenderung_Aktiengesetz.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;10. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08102015_Stellungnahme_BDR_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=3;18/6985;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Dämpfung des Mietanstiegs auf angespannten Wohnungsmärkten und zur Stärkung des Bestellerprinzips bei der Wohnungsvermittlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Daempfung_Mietanstieg_Wohnungsmaerkte_Staerkung_Bestellerprinzip_Wohnungsvermittlung.html;06. Mai 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/05062014_Stellungnahme_BDR_RefE_MietNovG.pdf?__blob=publicationFile&v=2;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung des Strafgesetzbuchs – Stärkung des Schutzes von Vollstreckungsbeamten und Rettungskräften;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Schutz_Vollstreckungsbeamte_Rettungskraefte.html;20. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01202017_Stellungnahme_BDR_RefE_StGB%20%C3%84ndG%20-%20Vollstreckungsbeamte.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09022016_Stellungnahme_BDR_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Novellierung des Rechts der Unterbringung in einem psychiatrischen Krankenhaus gemäß § 63 des Strafgesetzbuches;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Novellierung_Unterbringung_psychiatrischen_Krankenhaus_63_StGB.html;27. Jul 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/07272015_Stellungnahme_BDR_RefE_Novellierung_Rechts_Unterbringung_psychiatrischew_Krankenhaus_Par_63_StGB.pdf?__blob=publicationFile&v=1;18/7244;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Durchführung der Verordnung (EU) Nr. 655/2014 sowie zur Änderung sonstiger zivilprozessualer, grundbuchrechtlicher und vermögensrechtlicher Vorschriften und zur Änderung der Justizbeitreibungsordnung (EuKoPfVODG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Durchfuehrung_EU-VO%20655-2014_zivilprozessualer_Vorschriften_JBeitrG.html;11. Feb 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/02112015_Stellungnahme_BDR_RefE_Durchfuehrung_EU-VO%20655-2014_zivilprozessualer%20_Vorschriften.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Einführung eines familiengerichtlichen Genehmigungsvorbehaltes für freiheitsentziehende Maßnahmen bei Kindern;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Genehmigungsvorbehalt_freiheitsentziehende_Massnahmen_Kindern.html;13. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10132016_Stellungnahme_BDR_RefE_Genehmigungsvorbehalt_freiheitsentziehende_Massnahmen_Kindern.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Stärkung des Rechts auf Vertretung durch einen Verteidiger in der Berufungsverhandlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Staerkung_Vertretungsrecht_Verteidiger_in_Berufungshauptverhandlung.html;01. Apr 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/04012014_Stellungnahme_BDR_RefE_Staerkung_Vertretungsrecht_Verteidiger_in_Berufungshauptverhandlung.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetz zur Umsetzung der Richtlinie 2011/99/EU über die Europäische Schutzanordnung über die gegenseitige Anerkennung von Schutzmaßnahmen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umsetzung_Richtlinie_Europaeische_Schutzanordnung_Anerkennung_Schutzma%C3%9Fnahmen.html;22. Jun 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/06222014_Stellungnahme_BDR_RefE_Umsetzung_Richtlinie_Europaeische_Schutzanordnung_Anerkennung_Schutzma%C3%9Fnahmen.pdf?__blob=publicationFile&v=1;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Gesetzes zur Änderung des Unterhaltsrechts und des Unterhaltsverfahrensrechts sowie zur Änderung der Zivilprozessordnung und kostenrechtlicher Vorschriften   ;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Unterhaltsverfahrensrecht_Mindestunterhalt_saechliches-Existenminimum.html;06. Jul 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/07062015_Stellungnahme_BDR_RefE_GE_Aenderung_Unterhaltsrecht.pdf?__blob=publicationFile&v=2;NA;2690;
Bund Deutscher Rechtspfleger (BDR);Viertes Gesetzes zur Änderung des Umwandlungsgesetzes;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Umwandlungsgesetz_viertes.html;19. Sep 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2018/Downloads/09192018_bdr_Unwandlungsgesetz.pdf?__blob=publicationFile&v=2;NA;2690;
Bund Deutscher Schiedsmänner und Schiedsfrauen e. V. (BDS);Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;08. Jul 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/07082015_Stellungnahme_BDS_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=2;18/6985;2693;
Bund Deutscher Schiedsmänner und Schiedsfrauen e. V. (BDS);Verbraucherstreitbeilegungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.html;23. Jan 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/01232015_Stellungnahme_BDS_RefE_Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.pdf?__blob=publicationFile&v=2;NA;2693;
Bund deutscher Schiedsmänner und Schiedsfrauen e.V.;Evaluationsbericht zum Mediationsgesetz ;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Mediationsgesetz_Evaluationsbericht.html;14. Sep 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/09142017_Stellungnahme_Evaluationsbericht-MediationsG_Bund-dt-Schiedsmaenner.pdf?__blob=publicationFile&v=4;15/3045;NA;
Bund Deutscher Sozialrichter (BDS);Gesetz zur Erweiterung der Medienöffentlichkeit in Gerichtsverfahren und zur Verbesserung der Kommunikationshilfen für Sprach- und Hörbehinderte (EMöGG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Erweiterung_Medienoeffentlichkeit_Gerichtsverfahren.html;11. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07112016_Stellungnahme_BDS_RefE_EMoeGG.pdf?__blob=publicationFile&v=3;NA;1214;
Bund Deutscher Sozialrichter (BDS);Stellungnahme des Bundes Deutscher Sozialrichter (BDS);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/06012015_Stellungnahme_BDS_RefE_FamFG_AendG.html;01. Jun 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/06012015_Stellungnahme_BDS_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=1;NA;1214;
Bund Deutscher Verwaltungsrichter und Verwaltungsrichterinnen;Gesetz zur Erweiterung der Medienöffentlichkeit in Gerichtsverfahren und zur Verbesserung der Kommunikationshilfen für Sprach- und Hörbehinderte (EMöGG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Erweiterung_Medienoeffentlichkeit_Gerichtsverfahren.html;12. Sep 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/09122016_Stellungnahme_Bund_dt_Verwaltungsrichter_RefE_EMoeGG.pdf?__blob=publicationFile&v=3;NA;1636;
Bund Deutscher Verwaltungsrichter und Verwaltungsrichterinnen (BDVR);Gesetz zur Umsetzung der Richtlinie über die Vergleichbarkeit von Zahlungskontoentgelten, den Wechsel von Zahlungskonten sowie den Zugang zu Zahlungskonten mit grundlegenden Funktionen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Zahlungskonten.html;18. Aug 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/08182015_Stellungnahme_BDVR_RefE-Zahlungskonten.pdf?__blob=publicationFile&v=1;18/7204;1636;
Bundedeutscher Rechtspfleger;Gesetz zur Reform des Vormundschaftsrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Reform_Vormundschaftsrecht.html;05. Dez 18;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/12052018_Stellungnahme_BDR_2-Diskussionsteilentwurf_Vormundschaftsrecht.pdf?__blob=publicationFile&v=2;NA;NA;
Bundes-Arbeitsgemeinschaft für Familien-Mediation e. V. (BAFM);Gesetz zur Änderung des Sachverständigenrechts und zur weiteren Änderung des Gesetzes über das Verfahren in Familiensachen und in den Angelegenheiten der freiwilligen Gerichtsbarkeit;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Aenderung_Sachverstaendigenrechts_Aenderung_Gesetzes_Verfahren_Familiensachen_sowie_freiwilligen_Gerichtsbarkeit.html;29. Mai 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/05292015_Stellungnahme_BAFM_RefE_FamFG_AendG.pdf?__blob=publicationFile&v=2;18/6985;429;
Bundes-Arbeitsgemeinschaft für Familien-Mediation e. V. (BAFM);Verbraucherstreitbeilegungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.html;21. Jan 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/01212015_Stellungnahme_BAFM_RefE_Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.pdf?__blob=publicationFile&v=1;NA;429;
Bundes für Umwelt und Naturschutz Deutschland (BUND);Gesetz zur Stärkung der nichtfinanziellen Berichterstattung der Unternehmen in ihren Lage- und Konzernlageberichten (CSR-Richtlinie-Umsetzungsgesetz);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/CSR-Richtlinie-Umsetzungsgesetz.html;11. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04112016_Stellungnahme_BUND_RefE_CSR_Umsetzungsgesetz.pdf?__blob=publicationFile&v=6;NA;NA;
Bundes Initiative Grosseltern Annemarie Wittgen;Gesetz zur Umsetzung der Entscheidung des BVerfG zur Sukzessivadoption durch Lebenspartner;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Sukzessivadoption.html;14. Feb 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/02142014_Stellungnahme_Initiative_Grosseltern_RefE_Sukzessivadoption.pdf?__blob=publicationFile&v=1;NA;NA;
Bundesagentur für Arbeit;Gesetz zur Bekämpfung von Zahlungsverzug im Geschäftsverkehr und zur Änderung des Erneuerbare-Energien-Gesetzes;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Zahlungsverzug_Geschaeftsverkehr.html;07. Mrz 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/03072014_Stellungnahme_BundesagenturArbeit_RefE_Bekaempfung_Zahlungsverzug_Geschaeftsverkehr.pdf?__blob=publicationFile&v=4;NA;27;
Bundesanstalt für Finanzdienstleistungsaufsicht (BaFin);Verbraucherstreitbeilegungsgesetz;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.html;05. Jan 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/01052015_Stellungnahme_BaFin_RefE_Verbraucherstreitbeilegungsgesetz_ADR_Richtlinie.pdf?__blob=publicationFile&v=2;NA;619;
Bundesarbeitsgemeinschaft (BAG) Landesjugendämter;Gesetz zur Reform des Scheinvaterregresses, zur Rückbenennung und zur Änderung des Internationalen Familienrechtsverfahrensgesetzes;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Scheinvaterregress.html;28. Jul 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/07282016_Stellungnahme_BAG_Landesjugendaemter_RefE_Scheinvaterregress.pdf?__blob=publicationFile&v=1;NA;178;
Bundesarbeitsgemeinschaft (BAG) Schwulenberatung;Gesetz zur strafrechtlichen Rehabilitierung der nach dem 8. Mai 1945 wegen einvernehmlicher homosexueller Handlungen verurteilten Personen und zur Änderung des Einkommensteuergesetzes;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Rehabilitierung_175.html;04. Jan 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/01042017_Stellungnahme_bag_RefE_Rehabilitierung_175.pdf?__blob=publicationFile&v=2;NA;178;
Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege (BAGFW);Gesetz zur Einführung eines familiengerichtlichen Genehmigungsvorbehaltes für freiheitsentziehende Maßnahmen bei Kindern;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Genehmigungsvorbehalt_freiheitsentziehende_Massnahmen_Kindern.html;14. Okt 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/10142016_Stellungnahme_BAGFW_RefE_Genehmigungsvorbehalt_freiheitsentziehende_Massnahmen_Kindern.pdf?__blob=publicationFile&v=1;NA;12;
Bundesarbeitsgemeinschaft der Freien Wohlfahrtspflege (BAGFW);Gesetz zur Verbesserung des Schutzes gegen Nachstellungen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Stalking.html;04. Mai 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/05042016_Stellungnahme_BAGFW_RefE_Stalking.pdf?__blob=publicationFile&v=1;18/9946;12;
