actor;law;link.law;date;link.statement;V10b;V4;PH
Prepaid Verband Deutschland e.V. (PVD);Gesetz zur Umsetzung der Richtlinie über die Vergleichbarkeit von Zahlungskontoentgelten, den Wechsel von Zahlungskonten sowie den Zugang zu Zahlungskonten mit grundlegenden Funktionen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Zahlungskonten.html;02. Okt 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/10022015_Stellungnahme_PVD_RefE_Zahlungskonten.pdf?__blob=publicationFile&v=1;18/7204;NA;
pro familia;Gesetz zur Verbesserung der Information über einen Schwangerschaftsabbruch;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Information_Schwangerschaftsabbruch219a.html;04. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/01422019_Stellungnahme_pro-familia_Schwangerschaft.pdf?__blob=publicationFile&v=2;NA;3966;
Pro Generika;Gesetz zur Bekämpfung von Korruption im Gesundheitswesen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Korruption_Gesundheitswesen.html;10. Apr 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/04102015_Stellungnahme_progenerika_RefE_Bekaempfung_Korruption_Gesundheitswesen.pdf?__blob=publicationFile&v=1;18/6446;837;
Produzentenallianz - Allianz Deutscher Produzenten - Film & Fernsehen e. V.;Gesetz zur verbesserten Durchsetzung des Anspruchs der Urheber und ausübenden Künstler auf angemessene Vergütung und zur Regelung von Fragen der Verlegerbeteiligung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Urhebervertragsrecht.html;30. Dez 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/12302015_Stellungnahme_Produzentenallianz_RefE_Urhebervertragsrecht.pdf?__blob=publicationFile&v=1;18/8625;1073;
Prof. Dr. Dr. h.c. Michael Kubiciel;Gesetz zur Verbesserung der Information über einen Schwangerschaftsabbruch;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Information_Schwangerschaftsabbruch219a.html;01. Feb 19;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2019/Downloads/01022019_Stellungnahme_Prof.-Kubiciel_Schwangerschaft.pdf?__blob=publicationFile&v=5;NA;NA;
Prof. Dr. Dr. h.c. mult. Jürgen Basedow, LL.M. (Harvard Univ.), Direktor Max-Planck-Institut für ausländisches und internationales Privatrecht;Gesetz zur Änderung von Vorschriften im Bereich des Internationalen Privat- und Zivilverfahrensrechts;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Internationales_Privat_und_Zivilverfahrensrecht.html;02. Aug 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/08022016_Stellungnahme_Prof_Basedow_RefE_Internationales_Privat_und_Zivilverfahrensrecht.pdf?__blob=publicationFile&v=1;NA;NA;
Prof. Dr. Friedhelm Hufen - Professor für Öffentliches Recht - Staats- und Verwaltungsrecht an der Universität Mainz;Gesetz zur Dämpfung des Mietanstiegs auf angespannten Wohnungsmärkten und zur Stärkung des Bestellerprinzips bei der Wohnungsvermittlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Daempfung_Mietanstieg_Wohnungsmaerkte_Staerkung_Bestellerprinzip_Wohnungsvermittlung.html;19. Mai 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/05192014_Stellungnahme_Hufen_RefE_MietNovG.pdf?__blob=publicationFile&v=1;NA;NA;
Prof. Dr. Hubertus Gersdorf der Universität Leipzig;Gesetz zur Verbesserung der Rechtsdurchsetzung in sozialen Netzwerken (Netzwerkdurchsetzungsgesetz – NetzDG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/NetzDG.html;29. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03292017_Stellungnahme_Uni_Leipzig_2_RefE_NetzDG.pdf?__blob=publicationFile&v=3;NA;NA;
Prof. Dr. Hubertus Gersdorf der Universität Leipzig;Gesetz zur Verbesserung der Rechtsdurchsetzung in sozialen Netzwerken (Netzwerkdurchsetzungsgesetz – NetzDG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/NetzDG.html;28. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03282017_Stellungnahme_Uni_Leipzig_RefE_NetzDG.pdf?__blob=publicationFile&v=2;NA;NA;
Prof. Dr. Joachim Renzikowski (Universität Halle);Gesetz zur Bekämpfung des Menschenhandels und Schutz seiner Opfer;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Menschenhandels_Schutz_Opfer.html;18. Nov 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/11182014_Stellungnahme_Renzikowski_RefE_Bekaempfung_Menschenhandel.pdf?__blob=publicationFile&v=1;NA;NA;
Prof. Dr. jur. Eric W. Steinhauer - Humboldt-Universität zu Berlin - PhilFak I, Institut für Bibliotheks- und Informationswissenschaft;Gesetz zur Angleichung des Urheberrechts an die aktuellen Erfordernisse der Wissensgesellschaft (UrhWissG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/UrhWissG.html;17. Feb 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/02172017_Stellungnahme_Steinhauer_HUBerlin_RefE_UrhWissG.pdf?__blob=publicationFile&v=3;NA;NA;
Prof. Dr. Markus Artz - Fakultät für Rechtswissenschaft - Forschungsstelle für Immobilienrecht;Gesetz zur Dämpfung des Mietanstiegs auf angespannten Wohnungsmärkten und zur Stärkung des Bestellerprinzips bei der Wohnungsvermittlung;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Daempfung_Mietanstieg_Wohnungsmaerkte_Staerkung_Bestellerprinzip_Wohnungsvermittlung.html;30. Okt 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/10302014_Stellungnahme_Artz_RefE_MietNovG.pdf?__blob=publicationFile&v=1;NA;NA;
Prof. Dr. Martin Eifert und Johannes Gerberding;Gesetz zur Verbesserung der Rechtsdurchsetzung in sozialen Netzwerken (Netzwerkdurchsetzungsgesetz – NetzDG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/NetzDG.html;29. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03292017_Stellungnahme_HUBerlin_RefE_NetzDG.pdf?__blob=publicationFile&v=3;NA;NA;
Prof. Dr. Michael Kubiciel - Lehrstuhl für Strafrecht, Strafrechtstheorie und Strafrechtsvergleichung, Universität zu Köln;Gesetz zu dem Strafrechtsübereinkommen des Europarates vom 27. Januar 1999 über Korruption und dem Zusatzprotokoll vom 15. Mai 2003 zum Strafrechtsübereinkommen des Europarates über Korruption;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Vertragsgesetz_Korruption.html;26. Apr 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/04262016_Stellungnahme_Uni_Koeln_RefE_Strafrechts%C3%BCbereinkommen_Korruption.pdf?__blob=publicationFile&v=3;16/5240;NA;
Prof. Dr. Michael Kubiciel, Lehrstuhl für Strafrecht, Strafrechtstheorie und Strafrechtsvergleichung, Universität zu Köln;Gesetz zur Bekämpfung von Korruption im Gesundheitswesen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Korruption_Gesundheitswesen.html;01. Mai 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/05012014_Stellungnahme_Kubiciel2_RefE_Bekaempfung_Korruption_Gesundheitswesen.pdf?__blob=publicationFile&v=1;18/6446;NA;
Prof. Dr. Michael Kubiciel, Lehrstuhl für Strafrecht, Strafrechtstheorie und Strafrechtsvergleichung, Universität zu Köln, unter Mitwirkung von Wiss. Mit. Cornelia Spörl, LL.M.;Gesetz zur Bekämpfung der Korruption;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Korruption.html;01. Apr 14;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2014/Downloads/04012014_Stellungnahme_Kubiciel_RefE_Bekaempfung_Korruption.pdf?__blob=publicationFile&v=1;18/4350;NA;
Prof. Dr. Thomas Feltes, Lehrstuhl für Kriminologie, Kriminalpolitik und Polizeiwissenschaft, Ruhr-Universität Bochum, und Detlef Kabuth, Doktorand an der juristischen Fakultät der RUB;Gesetz zur Änderung des Strafgesetzbuches – Strafbarkeit von Sportwettbetrug und der Manipulation berufssportlicher Wettbewerbe;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Strafbarkeit_Sportwettbetrug_und_Manipulation_berufssportlicher_Wettbewerbe.html;11. Jan 16;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2016/Downloads/01112016_Stellungnahme_Thomas_Feltes_und_Detlef_Kabuth_RefE_Sportwettbetrug_und_Manipulation_berufssportlicher_Wettbewerbe.pdf?__blob=publicationFile&v=1;NA;NA;
Prof. Dr. Thomas Hoeren der Universität Münster;Gesetz zur Verbesserung der Rechtsdurchsetzung in sozialen Netzwerken (Netzwerkdurchsetzungsgesetz – NetzDG);https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/NetzDG.html;30. Mrz 17;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2017/Downloads/03302017_Stellungnahme_Uni_Muenster_RefE_NetzDG.pdf?__blob=publicationFile&v=2;NA;NA;
Professor Dr. Helmut Frister, Heinrich-Heine-Universität Düsseldorf;Gesetz zur Bekämpfung von Korruption im Gesundheitswesen;https://www.bmjv.de/SharedDocs/Gesetzgebungsverfahren/DE/Bekaempfung_Korruption_Gesundheitswesen.html;11. Mrz 15;https://www.bmjv.de//SharedDocs/Gesetzgebungsverfahren/Stellungnahmen/2015/Downloads/03112015_Stellungnahme_Frister_RefE_Bekaempfung_Korruption_Gesundheitswesen.pdf?__blob=publicationFile&v=1;18/6446;NA;
